"Ano","Universidad","Semestre","Nivel Educativo","Programa","Categoria Docentes","Genero","Numero"
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Medio tiempo","Hombre",16
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Catedrático","Hombre",24
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Tiempo completo","Mujer",13
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Medio tiempo","Mujer",13
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Catedrático","Mujer",12
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Tiempo completo","Hombre",0
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Medio tiempo","Hombre",0
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Catedrático","Hombre",0
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Tiempo completo","Mujer",0
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Medio tiempo","Mujer",0
2014,"Universidad Antonio Nariño","Semestre A","Postgrado",,"Docente Catedrático","Mujer",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Tiempo completo","Hombre",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Medio tiempo","Hombre",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Catedrático","Hombre",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Tiempo completo","Mujer",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Medio tiempo","Mujer",0
2014,"Universidad Antonio Nariño","Semestre B","Postgrado",,"Docente Catedrático","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Bancaria y Financiera","Docente Tiempo completo","Hombre",3
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Bancaria y Financiera","Docente Catedrático","Hombre",36
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Bancaria y Financiera","Docente Tiempo completo","Mujer",1
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Bancaria y Financiera","Docente Catedrático","Mujer",7
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Comercial","Docente Tiempo completo","Hombre",2
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Comercial","Docente Catedrático","Hombre",21
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Comercial","Docente Tiempo completo","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Comercial","Docente Catedrático","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración de Empresas Agropecuarias","Docente Tiempo completo","Hombre",2
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración de Empresas Agropecuarias","Docente Catedrático","Hombre",3
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración de Empresas Agropecuarias","Docente Tiempo completo","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración de Empresas Agropecuarias","Docente Catedrático","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Turística","Docente Tiempo completo","Hombre",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Turística","Docente Catedrático","Hombre",10
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Turística","Docente Tiempo completo","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Administración Turística","Docente Catedrático","Mujer",3
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Mercadeo, Publicidad y Ventas","Docente Tiempo completo","Hombre",2
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Mercadeo, Publicidad y Ventas","Docente Catedrático","Hombre",11
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Mercadeo, Publicidad y Ventas","Docente Tiempo completo","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Mercadeo, Publicidad y Ventas","Docente Catedrático","Mujer",10
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Negocios Internacionales","Docente Tiempo completo","Hombre",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Negocios Internacionales","Docente Catedrático","Hombre",20
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Negocios Internacionales","Docente Tiempo completo","Mujer",0
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Negocios Internacionales","Docente Catedrático","Mujer",6
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Medicina Veterinaria y Zootecnia","Docente Tiempo completo","Hombre",4
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Medicina Veterinaria y Zootecnia","Docente Catedrático","Hombre",16
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Medicina Veterinaria y Zootecnia","Docente Tiempo completo","Mujer",2
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Medicina Veterinaria y Zootecnia","Docente Catedrático","Mujer",6
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería Ambiental","Docente Tiempo completo","Hombre",7
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería Ambiental","Docente Catedrático","Hombre",26
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería Ambiental","Docente Tiempo completo","Mujer",4
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería Ambiental","Docente Catedrático","Mujer",16
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Hombre",5
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Catedrático","Hombre",17
2014,"Corporación Universitaria del Huila CORHUILA","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Mujer",1
