"Municipio","Ano","Rango","Poblacion"
"La Argentina",2014,"Población en edad escolar 6 – 10 años",1518
"La Plata",2014,"Población en edad escolar 6 – 10 años",6759
"Nátaga",2014,"Población en edad escolar 6 – 10 años",660
"Neiva",2014,"Población en edad escolar 6 – 10 años",28135
"Oporapa",2014,"Población en edad escolar 6 – 10 años",1684
"Paicol",2014,"Población en edad escolar 6 – 10 años",577
"Palermo",2014,"Población en edad escolar 6 – 10 años",3140
"Palestina",2014,"Población en edad escolar 6 – 10 años",1199
"Pital",2014,"Población en edad escolar 6 – 10 años",1362
"Pitalito",2014,"Población en edad escolar 6 – 10 años",12598
"Rivera",2014,"Población en edad escolar 6 – 10 años",1744
"Saladoblanco",2014,"Población en edad escolar 6 – 10 años",1325
"San Agustín",2014,"Población en edad escolar 6 – 10 años",3115
"Santa Maria",2014,"Población en edad escolar 6 – 10 años",1195
"Suaza",2014,"Población en edad escolar 6 – 10 años",2032
"Tarqui",2014,"Población en edad escolar 6 – 10 años",2005
"Tello",2014,"Población en edad escolar 6 – 10 años",1615
"Teruel",2014,"Población en edad escolar 6 – 10 años",885
"Tesalia",2014,"Población en edad escolar 6 – 10 años",926
"Timaná",2014,"Población en edad escolar 6 – 10 años",2118
"Villavieja",2014,"Población en edad escolar 6 – 10 años",787
"Yaguará",2014,"Población en edad escolar 6 – 10 años",739
"Acevedo",2014,"Población en edad escolar 11- 16 años",2995
"Agrado",2014,"Población en edad escolar 11- 16 años",776
"Aipe",2014,"Población en edad escolar 11- 16 años",2098
"Algeciras",2014,"Población en edad escolar 11- 16 años",1911
"Altamira",2014,"Población en edad escolar 11- 16 años",368
"Baraya",2014,"Población en edad escolar 11- 16 años",751
"Campoalegre",2014,"Población en edad escolar 11- 16 años",2626
"Colombia",2014,"Población en edad escolar 11- 16 años",965
"Elias",2014,"Población en edad escolar 11- 16 años",340
"Garzón",2014,"Población en edad escolar 11- 16 años",7423
"Gigante",2014,"Población en edad escolar 11- 16 años",2617
"Guadalupe",2014,"Población en edad escolar 11- 16 años",1776
"Hobo",2014,"Población en edad escolar 11- 16 años",531
"Iquira",2014,"Población en edad escolar 11- 16 años",943
"Isnos",2014,"Población en edad escolar 11- 16 años",2238
"La Argentina",2014,"Población en edad escolar 11- 16 años",1207
"La Plata",2014,"Población en edad escolar 11- 16 años",5392
"Nátaga",2014,"Población en edad escolar 11- 16 años",538
"Neiva",2014,"Población en edad escolar 11- 16 años",23762
"Oporapa",2014,"Población en edad escolar 11- 16 años",1347
"Paicol",2014,"Población en edad escolar 11- 16 años",485
"Palermo",2014,"Población en edad escolar 11- 16 años",2492
"Palestina",2014,"Población en edad escolar 11- 16 años",967
"Pital",2014,"Población en edad escolar 11- 16 años",1081
"Pitalito",2014,"Población en edad escolar 11- 16 años",10260
"Rivera",2014,"Población en edad escolar 11- 16 años",1327
"Saladoblanco",2014,"Población en edad escolar 11- 16 años",1032
"San Agustín",2014,"Población en edad escolar 11- 16 años",2536
"Santa Maria",2014,"Población en edad escolar 11- 16 años",928
"Suaza",2014,"Población en edad escolar 11- 16 años",1558
"Tarqui",2014,"Población en edad escolar 11- 16 años",1544
"Tello",2014,"Población en edad escolar 11- 16 años",1248
"Teruel",2014,"Población en edad escolar 11- 16 años",706
"Tesalia",2014,"Población en edad escolar 11- 16 años",717
"Timaná",2014,"Población en edad escolar 11- 16 años",1714
"Villavieja",2014,"Población en edad escolar 11- 16 años",602
"Yaguará",2014,"Población en edad escolar 11- 16 años",618
"Acevedo",2014,"Población en edad escolar 11- 16 años",1463
"Agrado",2014,"Población en edad escolar 11- 16 años",384
"Aipe",2014,"Población en edad escolar 11- 16 años",1027
"Algeciras",2014,"Población en edad escolar 11- 16 años",905
"Altamira",2014,"Población en edad escolar 11- 16 años",186
"Baraya",2014,"Población en edad escolar 11- 16 años",388
"Campoalegre",2014,"Población en edad escolar 11- 16 años",1308
"Colombia",2014,"Población en edad escolar 11- 16 años",497
"Elias",2014,"Población en edad escolar 11- 16 años",163
"Garzón",2014,"Población en edad escolar 11- 16 años",3813
